,CellType,x_global,y_global
embryo1_Pos0_cell253_z2,Endothelium,1634.95327563996,1347.24364299368
embryo1_Pos0_cell254_z2,Gut tube,1635.13395724826,1350.67931315104
embryo1_Pos0_cell255_z2,Gut tube,1635.19861095221,1354.86957068024
embryo1_Pos0_cell256_z2,Gut tube,1634.94903205423,1349.90733592866
embryo1_Pos0_cell257_z2,Lateral plate mesoderm,1635.16351986291,1337.67068377801
embryo1_Pos0_cell258_z2,Endothelium,1635.33816223698,1348.16581933771
embryo1_Pos0_cell259_z2,Lateral plate mesoderm,1635.31991939221,1339.395576319
embryo1_Pos0_cell26_z2,Erythroid,1618.64527020407,1337.82503609035
embryo1_Pos0_cell261_z2,Endothelium,1635.61499176744,1356.3040861552
embryo1_Pos0_cell262_z2,Gut tube,1635.89958295978,1349.33613201204
embryo1_Pos0_cell264_z2,Haematoendothelial progenitors,1635.42679268973,1332.98718120325
embryo1_Pos0_cell265_z2,Gut tube,1635.58006938488,1353.20413710565
embryo1_Pos0_cell267_z2,Lateral plate mesoderm,1636.23790377796,1332.26458807801
embryo1_Pos0_cell268_z2,Lateral plate mesoderm,1636.52986896572,1338.52577809196
embryo1_Pos0_cell269_z2,Endothelium,1635.6916051794,1346.50729709201
embryo1_Pos0_cell27_z2,Lateral plate mesoderm,1618.85574445253,1353.25014574174
embryo1_Pos0_cell270_z2,Gut tube,1635.85156530621,1351.17746778466
embryo1_Pos0_cell271_z2,Gut tube,1635.92204141422,1352.11954619739
embryo1_Pos0_cell272_z2,Lateral plate mesoderm,1636.22279188368,1337.44914822049
embryo1_Pos0_cell273_z2,Lateral plate mesoderm,1636.63185607281,1340.17230287532
embryo1_Pos0_cell274_z2,Haematoendothelial progenitors,1636.82373007937,1333.75991865094
embryo1_Pos0_cell275_z2,Endothelium,1636.77408372124,1346.55023427292
embryo1_Pos0_cell276_z2,Gut tube,1636.31596679688,1354.74964890253
embryo1_Pos0_cell277_z2,Gut tube,1636.58897816051,1350.36194006189
embryo1_Pos0_cell278_z2,Lateral plate mesoderm,1636.92072583992,1334.86065472613
embryo1_Pos0_cell279_z2,Gut tube,1636.50466288417,1353.52129672973
embryo1_Pos0_cell28_z2,Lateral plate mesoderm,1619.57272403944,1354.83923682353
embryo1_Pos0_cell280_z2,Haematoendothelial progenitors,1637.61992825889,1347.46131449453
embryo1_Pos0_cell281_z2,Gut tube,1636.67615763346,1351.70318603516
embryo1_Pos0_cell282_z2,Lateral plate mesoderm,1637.07668857859,1335.95193344799
embryo1_Pos0_cell283_z2,Gut tube,1636.83367995274,1351.08064175829
embryo1_Pos0_cell284_z2,Gut tube,1637.14870619108,1355.65157586636
embryo1_Pos0_cell286_z2,Gut tube,1637.29815524962,1352.97453196456
embryo1_Pos0_cell287_z2,Gut tube,1636.97439955446,1357.62099624975
embryo1_Pos0_cell288_z2,Lateral plate mesoderm,1637.23971712791,1341.69342144465
embryo1_Pos0_cell289_z2,Gut tube,1637.2737058965,1356.6480014216
embryo1_Pos0_cell29_z2,Erythroid,1618.72059125653,1338.86388421402
